"country","SuicideRate_BothSexes_RatePer100k_2021","SuicideRate_Male_RatePer100k_2021","SuicideRate_Female_RatePer100k_2021","SuicideRate_BothSexes_RatePer100k_2020","SuicideRate_Male_RatePer100k_2020","SuicideRate_Female_RatePer100k_2020","SuicideRate_BothSexes_RatePer100k_2019","SuicideRate_Male_RatePer100k_2019","SuicideRate_Female_RatePer100k_2019"
"India",13.33,15.7,10.85,13.28,15.7,10.73,12.7,14.1,11.1
"China",9.17,10.64,7.63,9.04,10.52,7.5,8.1,9.8,6.2
"United States",15.25,24.13,6.66,15.38,24.33,6.73,16.1,25,7.5
"Indonesia",1.64,2.21,1.05,1.66,2.23,1.07,2.4,3.7,1.1
"Pakistan",5.82,8.46,3.05,5.89,8.54,3.1,8.9,13.3,4.3
"Nigeria",4.27,7.22,1.56,4.3,7.28,1.55,3.5,5,1.9
"Brazil",7.78,12.47,3.3,7.75,12.46,3.25,6.9,10.9,3
"Bangladesh",3.67,5.18,2.21,3.7,5.18,2.26,3.7,5.7,1.7
"Russia",24.1,41.82,8.66,24.25,42.42,8.44,25.1,43.6,9.1
"Ethiopia",6.17,9.4,2.88,6.12,9.34,2.84,5.4,7.7,3.1
"Mexico",6.84,11.51,2.38,6.73,11.3,2.36,5.3,8.5,2.2
"Japan",17.47,25.2,10.12,17.53,25.4,10.05,15.3,21.8,9.2
"Egypt",1.01,1.48,0.5,1.02,1.5,0.51,3,4,2
"Philippines",3.77,6.04,1.44,3.59,5.69,1.43,2.2,3.1,1.2
"DR Congo",8.12,12.39,3.77,8.08,12.32,3.76,6.7,10.6,2.8
"Vietnam",8.01,10.97,5.07,8.02,10.98,5.07,7.5,10.4,4.7
"Iran",4.34,6.46,2.16,4.38,6.52,2.17,5.2,7.7,2.8
"Turkey",3.84,6.02,1.65,3.82,5.95,1.68,2.4,3.6,1.2
"Germany",12.31,18.9,5.77,12.58,19.33,5.9,12.3,18.6,6.2
"Thailand",12,20.1,4.44,11.95,19.98,4.44,8.8,15,2.9
"United Kingdom",8.47,13.18,3.93,8.29,12.89,3.85,7.9,11.8,4
"Tanzania",5.66,8.9,2.59,5.65,8.86,2.6,4.3,6.6,2
"France",13.72,22.01,5.92,14.27,22.87,6.17,13.8,20.4,7.6
"South Africa",15.3,25.55,5.46,15.1,25.24,5.35,23.5,37.6,9.8
"Italy",6.44,10.37,2.72,6.22,10.01,2.63,6.7,10.1,3.5
"Kenya",6.82,10.53,3.16,6.84,10.54,3.18,6.1,9.1,3.2
"Myanmar",3.57,6.06,1.26,3.56,6.02,1.27,2.9,4.9,1.1
"Colombia",6.74,11.09,2.57,6.77,11.07,2.63,3.9,6.1,1.8
"South Korea",25.81,36.96,14.58,25.63,36.61,14.56,28.6,40.2,16.9
"Sudan",4.28,5.41,3.11,4.34,5.44,3.2,3.8,4.9,2.8
"Uganda",5.84,9.79,2.01,5.88,9.86,2.01,4.6,7.6,1.7
"Spain",7.73,11.86,3.78,7.55,11.58,3.69,7.7,11.4,4.2
"Algeria",2.76,3.6,1.9,2.76,3.59,1.91,2.5,3.1,1.8
"Iraq",4.41,6.55,2.12,4.44,6.56,2.16,3.6,5.2,2
"Argentina",10.47,17.29,3.99,11.01,18.19,4.17,8.4,13.7,3.3
"Afghanistan",3.6,4.16,3.01,3.63,4.18,3.04,4.1,4.6,3.6
"Yemen",3.56,4.63,2.46,3.56,4.61,2.48,5.8,7,4.6
"Canada",12.51,19.43,5.77,12.84,19.98,5.9,11.8,17.6,6.1
"Poland",15.15,27.27,3.79,15.21,27.44,3.74,11.3,20.1,3.1
"Morocco",3.68,4.28,3.07,3.67,4.23,3.09,7.2,9.7,4.7
"Angola",6.95,11.28,2.87,6.9,11.2,2.85,6.1,10,2.3
"Ukraine",23.17,41.4,7.43,22.9,40.96,7.32,21.6,39.2,6.5
"Uzbekistan",8.96,12.29,5.65,9.12,12.4,5.85,8,11.3,4.8
"Malaysia",5.17,8,2.13,4.55,6.98,1.95,5.7,8.9,2.3
"Mozambique",9.28,15.86,3.17,9.44,16.17,3.19,13.6,22,5.7
"Ghana",5.68,9.21,2.34,5.78,9.33,2.41,6.6,11.8,1.2
"Peru",2.9,4.35,1.43,2.97,4.44,1.48,2.8,4.2,1.4
"Saudi Arabia",7.87,10.95,3.55,7.86,10.92,3.56,6,8.9,2
"Madagascar",6.31,9.05,3.64,6.25,8.97,3.6,5.5,7.6,3.4
"Ivory Coast",7.05,11.52,2.28,7.13,11.65,2.29,8.9,14.9,2.8
"Nepal",13.07,18.26,8.37,12.97,17.99,8.41,9,16.4,2.7
"Cameroon",7.16,11.35,2.97,7.2,11.43,2.99,9,13.6,4.4
"Venezuela",8.11,14.2,2.41,8.06,14.08,2.39,2.1,3.5,0.7
"Niger",3.55,4.6,2.52,3.59,4.66,2.53,5.3,7.2,3.3
"Australia",12.86,19.8,6.08,12.87,19.73,6.17,12.5,18.6,6.4
"North Korea",10.88,12.25,9.52,10.87,12.2,9.55,9.4,11.2,7.6
"Syria",0.89,1.44,0.39,0.89,1.43,0.39,2,3.2,0.7
"Mali",4.09,5.24,2.96,4.14,5.3,2.99,4.1,5.3,2.9
"Burkina Faso",6.56,10.43,2.93,6.6,10.5,2.95,7.5,11.3,3.7
"Taiwan",16.04,21.9,10.29,15.87,21.56,10.28,,,
"Sri Lanka",16.27,26.45,6.78,14.86,23.88,6.43,14,22.3,6.2
"Malawi",8.31,13.84,3.05,837,13.96,3.06,5.4,9.2,1.7
"Zambia",8.16,13.42,2.99,8.28,13.63,3.02,7.3,12,2.7
"Kazakhstan",18.2,30.96,6.19,18.03,30.58,6.22,17.6,29,6.8
"Chad",5.43,7.88,3,5.44,7.91,3,6.4,9.6,3.3
"Chile",10.61,17.78,3.66,10.41,17.43,3.6,9,14.9,3.2
"Romania",10.76,18.54,3.4,10.6,18.3,3.32,9.7,16.5,3.3
"Somalia",5.78,7.11,4.39,5.85,7.2,4.45,7.9,12,3.8
"Senegal",7.58,11.87,3.25,7.68,12.03,3.3,6,9.2,3
"Guatemala",5.43,8.45,2.59,5.42,8.41,2.6,5.9,9.4,2.6
"Netherlands",11.23,15.24,7.28,11.27,15.25,7.34,11.8,15.5,8.3
"Ecuador",8.51,13.53,3.54,8.4,13.34,3.51,7.6,11.6,3.6
"Cambodia",4.54,6.46,2.7,4.53,6.42,2.7,4.9,7,2.8
"Zimbabwe",17.61,26.57,9.32,17.56,26.5,9.25,14.1,20,8.8
"Guinea",5.02,6.89,3.26,5.09,6.99,3.3,7,9.2,4.9
"Benin",5.32,8.32,2.41,5.38,8.43,2.43,7.8,11.8,3.8
"Rwanda",7.36,11.13,3.79,7.35,11.11,3.79,5.6,8.2,3
"Burundi",7.13,10.94,3.3,7.14,10.96,3.31,6.2,9.2,3.4
"Bolivia",5.53,7.61,3.44,5.55,7.61,3.48,6.2,8.4,4.1
"Tunisia",3.06,4.41,1.73,3.06,4.39,1.74,3.3,4.7,1.9
"South Sudan",8.03,12.19,3.84,8.14,12.45,3.8,3.9,5.7,2
"Haiti",7.18,10.28,4.2,7.16,10.22,4.23,9.6,11.8,7.6
"Belgium",17.3,25.49,9.36,15.93,23.33,8.75,18.3,24.9,11.8
"Jordan",1.07,1.6,0.46,1.06,1.59,0.46,1.6,2.5,0.7
"Dominican Republic",5.39,8.73,2.02,5.41,8.69,2.09,4.9,8,1.8
"United Arab Emirates",2.37,2.79,1.3,2.69,3.16,1.48,6.4,8,3
"Cuba",15.83,25.07,6.71,15.86,25.06,6.75,14.5,23,6
"Honduras",3.9,6.47,1.48,3.9,6.45,1.48,2.1,3.3,0.8
"Czech Republic",12.56,20.54,4.82,12.56,20.59,4.78,12.2,19.8,4.8
"Sweden",12.32,16.76,7.82,12.98,17.83,8.06,14.7,19.9,9.5
"Tajikistan",3.37,4.91,1.79,3.41,4.95,1.83,4.3,5.7,2.8
"Papua New Guinea",2.28,2.84,1.67,2.32,2.89,1.71,3,4.3,1.6
"Portugal",11.62,18.25,5.63,11.66,18.35,5.61,11.5,17.9,5.7
"Azerbaijan",2.5,3.91,1.08,2.48,3.87,1.09,4.1,6.6,1.6
"Greece",5.22,8.65,1.98,5.23,8.69,1.97,5.1,8.4,1.9
"Hungary",16.91,26.39,8.27,17.01,26.57,8.31,16.6,25.9,8.3
"Togo",7.88,12.41,3.54,7.89,12.42,3.53,8.8,13.8,3.9
"Israel",5.15,8.36,1.97,5.36,8.7,2.04,5.3,8.4,2.3
"Austria",14.34,22.34,6.55,14.92,23.15,6.91,14.6,22.8,6.7
"Belarus",20.44,35.68,7.16,20.14,35.07,7.13,21.2,36.7,7.7
"Switzerland",11.72,17.43,6.03,11.48,17.03,5.97,14.5,20.2,9
"Sierra Leone",5.09,6.91,3.29,5.08,6.88,3.3,6.7,8.3,5.1
"Laos",5.23,7.58,2.85,5.28,7.64,2.9,5.4,7.6,3.2
"Turkmenistan",9.72,14.57,4.65,9.73,14.58,4.67,5.7,8.8,2.7
"Libya",5.52,7.62,3.29,5.57,7.66,3.35,4.5,6,2.9
"Kyrgyzstan",9.25,14.71,3.92,9.17,14.53,3.95,7.4,11.7,3.2
"Paraguay",5.8,8.63,2.91,5.91,8.79,2.97,6,8.7,3.2
"Nicaragua",5.72,8.91,2.6,5.75,8.81,2.75,4.4,6.9,1.9
"Bulgaria",13.3,20.72,6.34,13.45,21.13,6.23,9.7,15.3,4.4
"Serbia",15.91,23.78,8.07,16.46,24.93,8.04,11.4,16.6,6.3
"El Salvador",8.32,13.31,3.92,8.11,12.95,3.84,6.1,10.5,2.1
"Republic of the Congo",9.57,14.47,4.72,9.56,14.42,4.76,6.5,9.5,3.5
"Denmark",11.27,16.26,6.33,11.71,16.88,6.59,10.7,14.9,6.5
"Singapore",7.75,10.19,5.21,8.15,10.89,5.3,11.2,15,7.1
"Lebanon",0.94,1.18,0.69,0.93,1.18,0.69,2.8,3.8,1.7
"Finland",15.67,23.96,7.58,16.38,25.02,7.96,15.3,23.2,7.6
"Liberia",6.66,9.37,3.86,6.54,9.2,3.81,4.5,5.6,3.3
"Norway",11.68,16.4,6.86,12.22,17.36,6.98,11.8,15.8,7.7
"Slovakia",12.34,21.31,3.79,12.43,21.49,3.78,12.1,21.2,3.4
"Palestine",0.78,1.24,0.31,0.77,1.2,0.32,,,
"Central African Republic",11.64,18.72,4.83,11.74,18.88,4.85,12.3,19.6,5.2
"Oman",1.04,1.49,0.33,1.05,1.49,0.34,4.9,6.8,1
"Ireland",8.41,13.7,3.24,8.75,14.24,3.38,9.6,15.4,3.9
"New Zealand",11.31,16.97,5.67,11.27,16.98,5.59,11,16.5,5.8
"Mauritania",3.55,4.98,2.16,3.46,4.85,2.12,3.1,4,2.2
"Costa Rica",9.85,17.37,2.83,8.98,15.7,2.7,8.1,14.1,2
"Kuwait",1.97,3.05,0.75,2.1,3.32,0.72,2.9,4.3,0.7
"Panama",5.28,8.82,1.7,5.35,8.91,1.73,2.9,4.7,1
"Croatia",14.31,22.31,6.76,14.24,22.28,6.66,16.4,25.3,8.1
"Georgia",8.64,14.57,3.18,8.8,14.83,3.26,9.2,16,3
"Eritrea",9.66,14.19,4.99,9.58,14.09,4.93,10.9,16.6,5.2
"Mongolia",14.59,25.68,3.77,15.94,28.08,4.1,17.9,30.7,5.4
"Uruguay",21.31,36.61,7.23,20.05,34.15,7.06,21.2,34.5,8.9
"Puerto Rico",7.1,12.68,2.05,7.15,12.78,2.06,,,
"Bosnia and Herzegovina",10.7,17.41,4.29,11.52,18.77,4.57,10.9,17.6,4.5
"Qatar",3.81,5.08,0.77,3.88,5.12,0.8,5.8,7.2,1.7
"Moldova",14.92,26.48,4.41,14.79,26.25,4.37,14.7,26.1,4.1
"Namibia",11.57,20.03,3.61,11.66,20.2,3.61,9.7,16.7,3.2
"Armenia",5.53,8.86,2.44,5.6,8.92,2.5,3.3,5.6,1.3
"Lithuania",27.91,49.96,9.07,28.07,50.46,8.93,26.1,45.4,9.6
"Jamaica",1.43,2.44,0.44,1.37,2.32,0.43,2.4,3.7,1.1
"Albania",4.1,5.28,2.91,4.02,5.16,2.87,4.3,5.9,2.7
"Gambia",5.58,8.11,3.12,5.58,8.1,3.13,4.8,6.6,3
"Gabon",9.67,16.72,3.12,9.82,16.96,3.17,8.4,14.2,2.4
"Botswana",9.72,15.73,3.84,9.76,15.77,3.9,16.1,26.3,6.4
"Lesotho",20.57,32.55,9.27,20.77,32.8,9.44,72.4,116,30.1
"Guinea-Bissau",8.49,12.74,4.44,8.58,12.87,4.49,7,10.2,3.9
"Slovenia",17.12,28.01,6.37,17.07,27.78,6.51,19.8,31.4,8.3
"Equatorial Guinea",6.89,10.29,2.85,6.86,10.26,2.85,7.9,9.4,6
"Latvia",19.42,34.67,6.39,18.74,33.36,6.28,20.1,35.5,7
"North Macedonia",7.91,11.08,4.64,7.96,11.18,4.65,9.4,13.9,4.8
"Bahrain",4.28,6.02,1.33,4.31,6.05,1.34,8.9,12.5,2.4
"Trinidad and Tobago",13.82,23.21,4.4,13.93,23.4,4.42,8.7,13.9,3.6
"Timor-Leste",4.08,5.62,2.49,4.04,5.55,2.49,3.7,5.3,2
"Estonia",15.19,25.66,5.83,15.08,25.62,5.69,14.9,24.3,6.5
"Cyprus",4.04,6.48,1.67,4.01,6.33,1.75,3.6,6,1.3
"Mauritius",10.96,18.01,4.09,11.22,18.63,3.99,9.5,16.3,2.8
"Eswatini",18.42,31.17,6.16,18.87,32.09,6.19,29.4,55.1,4.7
"Djibouti",5.63,7.67,3.25,5.62,7.68,3.22,9.6,12.6,6.4
"Fiji",8.89,12.25,5.45,9.01,12.42,5.51,9,12.2,5.7
"Comoros",6.3,7.82,4.79,6.28,7.79,4.78,5.4,7,3.8
"Guyana",31.26,52.79,10.31,31.71,53.32,10.59,40.3,63,17.4
"Solomon Islands",18.27,27.24,8.94,18.55,27.58,9.14,14.7,27,1.9
"Bhutan",5.75,7.57,3.79,5.74,7.54,3.79,4.6,6.3,2.7
"Luxembourg",9.02,13.24,4.74,8.93,13.19,4.61,11.3,15.3,7.1
"Montenegro",15.45,23.77,7.33,16.87,26.07,7.87,21,31.7,10.4
"Suriname",23.6,37.42,10.13,25.17,40.11,10.58,25.4,38.8,11.8
"Malta",4.96,8.06,1.85,5.06,8.37,1.76,6.1,9.8,2.3
"Maldives",2.22,3.33,0.44,2.12,3.2,0.43,2.7,3.9,0.8
"Cape Verde",15.06,25.66,4.28,15.02,25.58,4.29,12.9,21.3,4.5
"Brunei",4.05,6.17,1.68,4.33,6.63,1.77,2.7,4.4,0.8
"Belize",5.09,8.88,1.34,5.03,8.78,1.33,7.1,12.5,1.7
"Bahamas",2.61,4.75,0.62,2.61,4.74,0.61,3.5,5.9,1.3
"Iceland",12.49,19.64,5.13,12.12,19.06,5,11.9,19.8,3.9
"Vanuatu",16.31,25.01,7.45,16.37,25.05,7.5,18,28.1,7.6
"Barbados",4.67,8.22,1.36,4.79,8.43,1.41,0.6,0.9,0.3
"Sao Tome and Principe",1.15,1.77,0.52,1.13,1.73,0.52,1.5,2.2,0.8
"Samoa",12.18,17.11,6.95,12.27,17.21,7.04,12.6,18,6.7
"Saint Lucia",6.77,12.36,1.17,6.79,12.44,1.13,7.9,14.3,1.7
"Guam",17.08,29.13,4.71,18.33,31.29,4.97,,,
"Kiribati",17.29,30.08,5.02,17.4,30.26,5.05,28.3,48.6,8.7
"Seychelles",5.77,9.92,1.13,7.3,12.64,1.35,8.1,14.4,1.4
"Grenada",4.63,7.32,1.8,4.65,7.35,1.83,0.7,0.6,0.7
"Micronesia",20.17,30.72,9.2,20.16,30.65,9.26,28.2,43.2,12.7
"Tonga",4.64,5.97,3.31,4.62,5.93,3.31,3.8,5,2.6
"Saint Vincent and the Grenadines",6.19,11.19,0.97,6.12,11.06,0.96,1,1.3,0.6
"Antigua and Barbuda",1.38,2.5,0.3,1.49,2.74,0.29,0.4,,0.8
"United States Virgin Islands",7.02,12.76,1.6,8.14,14.81,1.86,,,
"Andorra",7.89,12.22,3.31,7.92,12.26,3.33,,,
"Dominica",4.23,7.46,0.89,4.18,7.38,0.88,,,
"Bermuda",3.99,7.06,1.11,3.72,6.58,1.04,,,
"Greenland",59.62,86.96,29.4,64.6,94.39,31.59,,,
"Saint Kitts and Nevis",2.85,4.96,0.74,2.8,4.87,0.73,,,
"American Samoa",8.04,11.97,3.93,8.46,12.59,4.14,,,
"Northern Mariana Islands",15.59,24.66,5.55,13.21,19.87,5.84,,,
"Monaco",15.42,21.33,9.84,15.5,21.42,9.9,,,
"Marshall Islands",20.04,29.01,10.65,20.11,29.07,10.71,,,
"San Marino",7.59,12.19,3.28,8.01,12.87,3.45,,,
"Palau",14.99,17.12,12.39,15.04,17.22,12.38,,,
"Cook Islands",9.17,14.39,3.95,11.63,18.3,5.32,,,
"Nauru",23.55,35.11,11.79,23.66,35.25,11.86,,,
"Tuvalu",16.49,23.79,8.56,16.61,23.92,8.68,,,
"Tokelau",15.83,19.54,11.97,15.95,19.71,12.05,,,
"Niue",15.59,20.62,10.51,15.63,20.66,10.54,,,